Codigo,NomeCatalogoAtual,NomeCadastro,DescricaoCadastro,EspecificacoesCadastro
1467,SENSOR DE PAREDE NT38 1200W 220V BRANCO,SENSOR DE PAREDE NT38 1200W 220V BRANCO,Sensor de Parede NT38,"CÓDIGO: 1467\REFERÊNCIA: 1467\FREQUÊNCIA: 50-60Hz\CONSUMO:50mA\ALCANCE DE DETECÇÃO: 12m\ÂNGULO DE DETECÇÃO: 180°\VELOCIDADE DE DETECÇÃO: 0,6~1,5m/s\TEMPERATURA AMBIENTE: -10°C a 40°C\UMIDADE DO ÂMBIENTE: <93%\TEMPORIZAÇÃO: MIN: 5 SEG | MAX: 10 MIN\ FOTOCÉLULA: 3 À 2.000 LUX\ALTURA PARA INSTALAÇÃO: 1,8m a 2,5m\TENSÃO: 100 ~ 240V (BIVOLT AUTOMÁTICO)\POTÊNCIA MAX: 110V - 800W (LAMP. INCANDESCENTE) | 110V - 200W (LAMP. FLUORESCENTE) | 220V - 1200W (LAMP. INCANDESCENTE) | 220V - 300W (LAMP. FLUORESCENTE) \ GARANTIA: 1 ANO"
1468,RELE NT305-3 BIVOLT .AZUL IP44,RELE NT305-3 BIVOLT .AZUL IP44,Relé NT305-3 Bivolt IP44 cor Azul,CÓDIGO: 1468\REFERÊNCIA: 1468\POTÊNCIA(W): ***\TENSÃO(V): 100-240V\DIMENSÕES:Ø80X55mm\GARANTIA: 1 ano
1483,LUMI EMBUTIR RD. NT-PL007A 12W 6500K,LUMI EMBUTIR RD. NT-PL007A 12W 6500K,Luminária de embutir Slim PL-007A 12W Bivolt 6.500K,CÓDIGO: 1483\REFERÊNCIA: 1483\POTÊNCIA(W): 12W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 900\DIMENSÕES: Ø167x11mm\TAMANHO DO FURO: Ø155mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1487,PAINEL DE LED PL009A 25W BIVOLT 6500K BRANCO,PAINEL DE LED PL009A 25W BIVOLT 6500K BRANCO,Luminária de embutir PL-009A 25W Bivolt 6.500K,CÓDIGO: 1487\REFERÊNCIA: 1487\POTÊNCIA(W): 25W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1.950\DIMENSÕES: Ø295x11mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1506,SENSOR DE EMBUTIR NT42 1200W 220V BRANCO,SENSOR DE EMBUTIR NT42 1200W 220V BRANCO,Sensor de Embutir NT42,CÓDIGO: 1506\REFERÊNCIA: 1506\TENSÃO DE ALIMENTAÇÃO: 100~240V AC\FREQUÊNCIA: 50/60Hz\LUZ AMBIENTE: 3-2000LUX(AJUSTÁVEL)\TEMPO DE ATRASO: MIN: 10 SEG ± 3 SEG|MAX: 7 MIN ± 2 MIN\CARGA NOMINAL: 1200W/220V (LAMP. INCANDESCENTE) |300W/220V (LÂMP ELETRÔNICA) | 800W/110V (LAMP INCANDESCENTE)| 200W/110V (LAMP ELETRÔNICA)\TEMPO DE RESPOSTA (DETECÇÃO): 0.6~1.5m/s\FAIXA DE DETECÇÃO: 360°\DISTÂNCIA DE DETECÇÃO: 6m MAX\ALTURA DA INSTALAÇÃO: 2m~4m\PRODUTO PARA USO INTERNO\GARANTIA: 1 ANO
1569,LUMI LED SOBREPOR NL- LT018K 18W BIVOLT 6500K,LUMI LED SOBREPOR NL- LT018K 18W BIVOLT 6500K,Luminária de sobrepor redonda NL-LT018K 18W 6500K,CÓDIGO: 1569\REFERÊNCIA: 1569\POTÊNCIA(W): 18W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1450lm\DIMENSÕES: Ø208x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1578,LAMP LED A60 BULBO 9W BIVOLT 6500K E27,LAMP LED A60 BULBO 9W BIVOLT 6500K E27,Lâmpada Alta potência LED Bulbo 9W A-60 Bivolt 6500K E27,CÓDIGO: 1578\REFERÊNCIA: 1578\POTÊNCIA(W): 9W\BASE: E27\CORRENTE: 74mA 127V / 43mA 220V\FLUXO LUMINOSO (lm): 810lm\TEMP. COR(K): 6500K\TENSÃO(V): 100-240V\FREQUÊNCIA: 60Hz\ EQUIV. INCANDESCENTE: 60W\ DIMENSÃO APROX: 60x110mm\IRC: >80\ FATOR DE POTÊNCIA: >0.7\ VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 220°\PESO: 37g\GARANTIA: 2 anos
1580,LAMP LED A60 BULBO 7W BIVOLT 3000K E27,LAMP LED A60 BULBO 7W BIVOLT 3000K E27,Lâmpada LED Bulbo 7W A-60 Bivolt 3000K E27,CÓDIGO: 1580\REFERÊNCIA: 1580\POTÊNCIA(W): 7W\BASE: E27\CORRENTE: 59mA 127V / 34mA 220V\FLUXO LUMINOSO (lm): 560lm\TEMP. COR(K): 3000K\TENSÃO(V): 100-240V\FREQUÊNCIA: 60Hz\ EQUIV. INCANDESCENTE: 40W\ DIMENSÃO APROX: 60x108mm\IRC: >80\ FATOR DE POTÊNCIA: >0.7\ VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 220°\PESO: 32g\GARANTIA: 2 anos
1583,LAMP LED A60 BULBO 9W BIVOLT 3000K E27,LAMP LED A60 BULBO 9W BIVOLT 3000K E27,Lâmpada Alta potência LED Bulbo 9W A-60 Bivolt 3000K E27,CÓDIGO: 1583\REFERÊNCIA: 1583\POTÊNCIA(W): 9W\BASE: E27\CORRENTE: 75mA 127V / 50mA 220V\FLUXO LUMINOSO (lm): 810lm\TEMP. COR(K): 3000K\TENSÃO(V): 100-240V\FREQUÊNCIA: 50/60Hz\ EQUIV. INCANDESCENTE: 60W\ DIMENSÃO APROX: 60x108mm\IRC: 80\ FATOR DE POTÊNCIA: >0.7\ VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 180°\PESO: 24g\GARANTIA: 2 anos
1609,LUMI LED SOBREPOR QD. NL-LT018J 18W 6500K,LUMI LED SOBREPOR QD. NL-LT018J 18W 6500K,Luminária de sobrepor 18W NL-LT018J Bivolt 6.500K,CÓDIGO: 1609\REFERÊNCIA: 1609\POTÊNCIA(W): 18W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1450lm\DIMENSÕES: 206x206x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1634,LUMIN DE SOBREPOR LT012K 12W BIVOLT 6500K BRANCO RED,LUMIN DE SOBREPOR LT012K 12W BIVOLT 6500K BRANCO RED,Luminária de sobrepor redonda LT012K 12W 6500K,CÓDIGO: 1634\REFERÊNCIA: 1634\POTÊNCIA(W): 12W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 900lm\DIMENSÕES: Ø157x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1635,LUMI LED SOBREPOR RD.NL- LT006K 6W 6500K,LUMI LED SOBREPOR RD.NL- LT006K 6W 6500K,Luminária de sobrepor redonda NL-LT006K 6W 6500K,CÓDIGO: 1635\REFERÊNCIA: 1635\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 380\DIMENSÕES: Ø107x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1645,ARANDELA LG6101 MAX-60W PRETO E27 IP43,ARANDELA LG6101 MAX-60W PRETO E27 IP43,Arandela LG6101 60W preta E27 IP43,CÓDIGO: 1645\REFERÊNCIA: 1645\POTÊNCIA(W): 60W\BASE: E27\TENSÃO(V): 220/240v ~ 50Hz AC 110/130 ~ 60Hz\ TIPO DE LÂMPADA: Padrão (lâmpada não fornecida)\MATERIAL: Alumínio fundido + Difusor de vidro\GRAU DE PROTEÇÃO: IP43\GARANTIA: 1 ano
1659,LAMP LED A55 BULBO 7W BIVOLT 6500K E27,LAMP LED A55 BULBO 7W BIVOLT 6500K E27,Lâmpada LED Bulbo 7W A55 Bivolt 6500K E27,CÓDIGO: 1659\REFERÊNCIA: 1659\POTÊNCIA(W): 7W\BASE: E27\CORRENTE: 59mA 127V / 34mA 220V\FLUXO LUMINOSO (lm): 560lm\TEMP. COR(K): 6500K\TENSÃO(V): 100-240V\FREQUÊNCIA: 60Hz\ EQUIV. INCANDESCENTE: 40W\ DIMENSÃO APROX: 60x108mm\IRC: >80\ FATOR DE POTÊNCIA: >0.7\ VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 320°\PESO: 37g\GARANTIA: 2 anos
1660,REFLET LED 20W BIVOLT RGB PRETO SUPER LED,REFLET LED 20W BIVOLT RGB PRETO SUPER LED,Refletor LED RGB 20W Bivolt IP65,CÓDIGO: 1660\REFERÊNCIA: 1660\POTÊNCIA(W): 20W\COR: RGB\TENSÃO(V): 100-240V\PROTEÇÃO: IP65\FREQUÊNCIA: 50/60Hz\ÂNGULO DE ILUMINAÇÃO: 120°\ FATOR DE POTÊNCIA: >40\DIMENSÕES: 140x180x70mm\GARANTIA: 1 ano
1661,LAMP LED A60 BULBO 12W BIVOLT 6500K BRANCO E27,LAMP LED A60 BULBO 12W BIVOLT 6500K BRANCO E27,Lâmpada LED Bulbo 12W A-60 Bivolt 6500K E27,CÓDIGO: 1661\REFERÊNCIA: 1661\POTÊNCIA(W): 12W\BASE: E27\CORRENTE: 91mA 127V / 53mA 220V\FLUXO LUMINOSO (lm): 1050lm\TEMP. COR(K): 6500K\TENSÃO(V): 100-240V\FREQUÊNCIA: 60Hz\ EQUIV. INCANDESCENTE: 75W\ DIMENSÃO APROX: 60x120mm\IRC: >80\ FATOR DE POTÊNCIA: >0.7\ VIDA ÚTIL (L70): 25.000h\ ÂNGULO: 320°\PESO: 37g\GARANTIA: 2 anos
1662,SENSOR NT451B 60W 220V BRANCO E27,SENSOR NT451B 60W 220V BRANCO E27,Sensor NT451B 60W 220V Socket E27 cor Branca,CÓDIGO: 1662\REFERÊNCIA: 1662\POTÊNCIA(W): 60W\TENSÃO(V): 220V\DIMENSÕES: Ø55x115mm\GARANTIA: 1 ano
1663,SENSOR DE TETO NT05A 1200W 220V BRANCO,SENSOR DE TETO NT05A 1200W 220V BRANCO,Sensor de Teto NT05A 1200W 220V Cor Branca,CÓDIGO: 1663\REFERÊNCIA: 1663\POTÊNCIA(W): 1200W\TENSÃO(V): 220V\DIMENSÕES: Ø89x50mm\GARANTIA: 1 ano
1664,BASE PARA RELE NT305-4 .PRETO,BASE PARA RELE NT305-4 .PRETO,Base para Relé NT305-4 Cor Preta,CÓDIGO: 1664\REFERÊNCIA: 1664\DIMENSÕES:Ø65X100x88mm\GARANTIA: 1 ano
1666,SENSOR PRESENÇA NT302,SENSOR PRESENÇA NT302,Sensor de Presença NT302,"CÓDIGO: 1666\REFERÊNCIA: 1666\POTÊNCIA(W): 0,1W\TENSÃO DE ALIMENTÃO: 4.5V/DC\LUZ AMBIENTE: <10LUX\TIME-DELAY: 30SEG+-5SEG\ALTURA INSTALAÇÃO: 0.1m~1.8m\TEMPERATURA DE COR: 3000K\TEMPO DE RESPOSTA (DETECÇÃO): 0,6 ~1,5m/s\DISTÂNCIA DE DETECÇÃO: MAX: 5m(<24°C)\FAIXA DE DETECÇÃO: 120°\USO INTERNO(PROTEGIDO DA CHUVA)\DIMENSÕES: Ø80mmx28mm\GARANTIA: 1 ano"
1667,FITA LED 5050 42W 12V RGB IP65,FITA LED 5050 42W 12V RGB IP65,"Fita flexível de LED 5050 5mt com fonte 12v, luminosidade ajustável, à prova d'água, ip65, RGB.",CÓDIGO: 1667\REFERÊNCIA: 1667\COMPRIMENTO: 5M\POTÊNCIA(W): 42W\TENSÃO(V): 12V\ TEMP. COR(K): 3.000K\GARANTIA: 1 ano
1670,LAMP TUBULAR LED T8 18W BIVOLT 6500K BRANCO G13 VIDRO,LAMP TUBULAR LED T8 18W BIVOLT 6500K BRANCO G13 VIDRO,Lâmpada tubular LED T8 18W Bivolt 6500K,CÓDIGO: 1670\ REFERÊNCIA: 1670\POTÊNCIA(W): 18W\BASE: G13\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.850\TEMP. COR: 6.500K\DIMENSÕES: Ø24x1200mm\GARANTIA: 2 anos
1671,LAMP TUBULAR LED T8 9W BIVOLT 6500K BRANCO G13 VIDRO,LAMP TUBULAR LED T8 9W BIVOLT 6500K BRANCO G13 VIDRO,Lâmpada tubular LED T8 9W Bivolt 6500K,CÓDIGO: 1671\ REFERÊNCIA: 1671\POTÊNCIA(W): 9W\BASE: G13\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 900\TEMP. COR: 6.500K\DIMENSÕES: Ø24X600mm\GARANTIA: 2 anos
1788,LUMIN DE EMBUTIR PL-007A 12W BIVOLT 3000K,LUMIN DE EMBUTIR PL-007A 12W BIVOLT 3000K,Luminária de embutir PL-007A 12W Bivolt 3000K,CÓDIGO: 1788\REFERÊNCIA: 1788\POTÊNCIA(W): 12W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 900\DIMENSÕES: Ø167x11mm\TAMANHO DO FURO: Ø155mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1808,LUMIN DE SOBREPOR LT006J 6W BIVOLT 6500K .BRANCO QUAD,LUMIN DE SOBREPOR LT006J 6W BIVOLT 6500K .BRANCO QUAD,Luminária de sobrepor 6W NL-LT006J Bivolt 6500K,CÓDIGO: 1808\REFERÊNCIA: 1808\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 380\DIMENSÕES: 107x107x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1810,LUMIN SOBREPOR QD LT012J 12W 6500K,LUMIN SOBREPOR QD LT012J 12W 6500K,Luminária de sobrepor 12W NL-LT0012J Bivolt 6500K,CÓDIGO: 1810\REFERÊNCIA: 1810\POTÊNCIA(W): 12W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 900\DIMENSÕES: 155x155x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1812,LUMI SOBREPOR QD -LT018J 18W 3000K,LUMI SOBREPOR QD -LT018J 18W 3000K,Luminária de sobrepor 18W NL-LT018J Bivolt 3000K,CÓDIGO: 1812\REFERÊNCIA: 1812\POTÊNCIA(W): 18W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 3000K\FLUXO LUMINOSO (lm): 1450lm\DIMENSÕES: 210x210x24mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1813,LUMI SOBREPOR QD NL-LT024J 24W 6500K,LUMI SOBREPOR QD NL-LT024J 24W 6500K,Luminária de sobrepor 24W NL-LT024J Bivolt 6500K,CÓDIGO: 1813\REFERÊNCIA: 1813\POTÊNCIA(W): 24W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1.950\DIMENSÕES: 283x283x28mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1814,LUMI EMBUTIR RD. NT-PL006A 6W 6500K,LUMI EMBUTIR RD. NT-PL006A 6W 6500K,Luminária de embutir redonda NT-PL006A 6W 6500K,CÓDIGO: 1814\REFERÊNCIA: 1418\POTÊNCIA(W): 6W\TENSÃO(V): 100-240V\TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 380lm\DIMENSÕES: Ø118x15mm\TAMANHO DO FURO: Ø110mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1815,LUMI EMBUTIR RD. NT-PL008A 18W 6500K,LUMI EMBUTIR RD. NT-PL008A 18W 6500K,Luminária de embutir redonda NT-PL008A 18W 6500K,CÓDIGO: 1815\REFERÊNCIA: 1815\POTÊNCIA(W): 18W\TENSÃO(V): 100-240V\TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1450lm\DIMENSÕES: Ø221x11mm\TAMANHO DO FURO: Ø200mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1817,LUMI LED EMBUTIR QD. NT-PL003A 12W 6500K,LUMI LED EMBUTIR QD. NT-PL003A 12W 6500K,Luminária de embutir Slim PL-003A 12W Bivolt 6500K,CÓDIGO: 1817\REFERÊNCIA: 1817\POTÊNCIA(W): 12W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 900\DIMENSÕES: 167x167x11mm\TAMANHO DO FURO: 155X155mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1818,LUMI LED EMBUTIR QD. NT-PL005A 25W 6500K,LUMI LED EMBUTIR QD. NT-PL005A 25W 6500K,Luminária de embutir PL-005A Bivolt 6.500K,CÓDIGO: 1818\REFERÊNCIA: 1818\POTÊNCIA(W): 25W\TENSÃO(V): 100-240V\IRC: 70\ TEMP. COR(K): 6.500K\FLUXO LUMINOSO (lm): 1.950\DIMENSÕES: 295x295x11mm\TAMANHO DO FURO: 280X280mm\VIDA ÚTIL: 15.000h\GARANTIA: 1 ano
1871,REFLET LED NL-20 20W BIVOLT VERDE PRETO IP65,REFLET LED NL-20 20W BIVOLT VERDE PRETO IP65,Refletor LED 20W Bivolt Verde SMD,CÓDIGO: 1871\REFERÊNCIA: 1871\POTÊNCIA(W): REFLETOR 20W\COR: Preto\TENSÃO(V): 100 ~ 240V\PROTEÇÃO: IP65\TEMP. COR: VERDE\FLUXO LUMINOSO (lm): 1300\DIMENSÕES: 114x82x20mm\GARANTIA: 1 ano
1904,LUMIN DE SOBREPOR SP-001 16W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-001 16W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-001 16W Bivolt 6500K,CÓDIGO: 1904\REFERÊNCIA: 1904\POTÊNCIA(W): 16W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.400\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø260x85mm\GARANTIA: 1 ano
1905,LUMIN DE SOBREPOR SP-002 20W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-002 20W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-002 20W Bivolt 6500K,CÓDIGO: 1905\REFERÊNCIA: 1905\POTÊNCIA(W): 20W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.600\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø330x100mm\GARANTIA: 1 ano
1906,LUMIN DE SOBREPOR SP-003 24W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-003 24W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-003 24W Bivolt 6500K,CÓDIGO: 1906\REFERÊNCIA: 1906\POTÊNCIA(W): 24W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.800\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø380x105mm\GARANTIA: 1 ano
1907,LUMIN DE SOBREPOR SP-004 16W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-004 16W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-004 16W Bivolt 6500K,CÓDIGO: 1907\REFERÊNCIA: 1907\POTÊNCIA(W): 16W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.400\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø260x85mm\GARANTIA: 1 ano
1908,LUMIN DE SOBREPOR SP-005 20W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-005 20W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-005 20W Bivolt 6500K,CÓDIGO: 1908\REFERÊNCIA: 1908\POTÊNCIA(W): 20W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.600\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø330x100mm\GARANTIA: 1 ano
1909,LUMIN DE SOBREPOR SP-006 24W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-006 24W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-006 24W Bivolt 6500K,CÓDIGO: 1909\REFERÊNCIA: 1909\POTÊNCIA(W): 24W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 1.800\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø380x105mm\GARANTIA: 1 ano
1914,LUMIN DE SOBREPOR SP-011 32W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-011 32W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-011 32W Bivolt 6500K,CÓDIGO: 1914\REFERÊNCIA: 1914\POTÊNCIA(W): 32W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 2.800\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø480x90mm\GARANTIA: 1 ano
1915,LUMIN DE SOBREPOR SP-012 32W BIVOLT 6500K .BRANCO,LUMIN DE SOBREPOR SP-012 32W BIVOLT 6500K .BRANCO,Luminária de sobrepor branca SP-012 32W Bivolt 6500K,CÓDIGO: 1915\REFERÊNCIA: 1915\POTÊNCIA(W): 32W\TENSÃO(V): 100-240V\FLUXO LUMINOSO (lm): 2.800\IRC: 70\ TEMP. COR(K): 6.500K\DIMENSÕES: Ø490x75mm\GARANTIA: 1 ano
1916,ARANDEDA LG6101 MAX-60W .BRANCA E27 IP43,ARANDEDA LG6101 MAX-60W .BRANCA E27 IP43,Arandela LG6101 60W branca E27 IP43,CÓDIGO: 1916\REFERÊNCIA: 1916\POTÊNCIA(W): 60W\BASE: E27\TENSÃO(V): 220/240v ~ 50Hz AC 110/130 ~ 60Hz\ TIPO DE LÂMPADA: Padrão (lâmpada não fornecida)\MATERIAL: Alumínio fundido + Difusor de vidro\GRAU DE PROTEÇÃO: IP43\GARANTIA: 1 ano
1917,ARANDELA LG6102 MAX-60W PRETO E27 IP43,ARANDELA LG6102 MAX-60W PRETO E27 IP43,Arandela LG6102 60W preta E27 IP43,CÓDIGO: 1917\REFERÊNCIA: 1917\POTÊNCIA(W): 60W\BASE: E27\TENSÃO(V): 220/240v ~ 50Hz AC 110/130 ~ 60Hz\ TIPO DE LÂMPADA: Padrão (lâmpada não fornecida)\MATERIAL: Alumínio fundido + Difusor de vidro\GRAU DE PROTEÇÃO: IP43\GARANTIA: 1 ano
1918,ARANDELA LG6102 MAX-60W BRANCO E27 IP43,ARANDELA LG6102 MAX-60W BRANCO E27 IP43,Arandela LG6102 60W branca E27 IP43,CÓDIGO: 1918\REFERÊNCIA: 1918\POTÊNCIA(W): 60W\BASE: E27\TENSÃO(V): 220/240v ~ 50Hz AC 110/130 ~ 60Hz\ TIPO DE LÂMPADA: Padrão (lâmpada não fornecida)\MATERIAL: Alumínio fundido + Difusor de vidro\GRAU DE PROTEÇÃO: IP43\GARANTIA: 1 ano
